# stations et liens du métro parisien
# format : V num sommet lat long num_ligne nom_sommet
#          E num_sommet1 num_sommet1 temps_en_secondes
V 0324 833 336 06 Saint-Jacques
V 0325 875 324 12 Saint-Lazare
V 0326 875 324 13 Saint-Lazare
V 0327 875 324 03 Saint-Lazare
V 0328 846 418 01 Saint-Mandé,_Tourelle
V 0329 838 360 05 Saint-Marcel
V 0330 853 343 04 Saint-Michel
V 0331 855 360 01 Saint-Paul,_Le_Marais
V 0332 872 310 09 Saint-Philippe_du_Roule
V 0333 847 327 04 Saint-Placide
V 0334 851 330 04 Saint-Sulpice
V 0335 861 367 08 Saint-Sébastien-Froissart
V 0336 867 345 03 Sentier
V 0337 893 347 04 Simplon
V 0338 858 322 12 Solférino
V 0339 884 367 02 Stalingrad
V 0340 884 367 05 Stalingrad
V 0341 884 367 07 Stalingrad
V 0342 869 354 04 Strasbourg_Saint-Denis
V 0343 869 354 09 Strasbourg_Saint-Denis
V 0344 869 354 08 Strasbourg_Saint-Denis
V 0345 851 361 07 Sully_Morland
V 0346 851 326 10 Sèvres_Babylone
V 0347 851 326 12 Sèvres_Babylone
V 0348 845 309 06 Sèvres_Lecourbe
V 0349 847 307 10 Ségur
V 0350 866 360 03 Temple
V 0351 878 299 02 Ternes
V 0352 826 357 07 Tolbiac
V 0353 876 332 12 Trinité_d'Estienne_d'Orves
V 0354 863 287 06 Trocadéro
V 0355 863 287 09 Trocadéro
V 0356 864 330 01 Tuileries
V 0357 875 399 11 Télégraphe
V 0358 849 321 10 Vaneau
V 0359 851 314 13 Varenne
V 0360 839 301 12 Vaugirard
V 0361 842 329 04 Vavin
V 0362 869 286 02 Victor_Hugo
V 0363 786 367 07 Villejuif,_Louis_Aragon
V 0364 805 363 07 Villejuif,_Léo_Lagrange
V 0365 796 368 07 Villejuif,_P._Vaillant_Couturier
V 0366 881 314 02 Villiers
V 0367 881 314 03 Villiers
V 0368 841 308 12 Volontaires
V 0369 858 379 09 Voltaire
V 0370 884 303 03 Wagram
V 0371 854 306 08 École_Militaire
V 0372 815 421 08 École_Vétérinaire_de_Maisons-Alfort
V 0373 847 268 10 Église_d'Auteuil
V 0374 893 413 05 Église_de_Pantin
V 0375 863 349 04 Étienne_Marcel
E 0000 0238 041
E 0000 0159 046
E 0001 0012 036
E 0001 0235 044
E 0002 0110 069
E 0002 0139 050
E 0003 0262 033
E 0003 0210 041
E 0004 0171 043
E 0004 0251 035
E 0005 0013 067
E 0005 0239 054
E 0006 0055 056
E 0006 0258 046
E 0007 0290 039
E 0007 0311 079
E 0008 0350 038
E 0008 0309 058
E 0009 0338 028
E 0009 0078 062
E 0010 0277 042
E 0010 0108 036
E 0011 0154 032
E 0011 0054 041
E 0012 0213 042
E 0013 0151 057
E 0014 0124 046
E 0014 0064 028
E 0015 0318 037
E 0015 0319 073
E 0016 0119 098
E 0016 0331 062
E 0017 0288 089
E 0017 0040 041
E 0018 0163 032
E 0018 0061 056
E 0019 0236 031
E 0019 0093 033
E 0020 0129 048
E 0020 0283 038
E 0021 0086 046
E 0021 0075 051
E 0022 0084 039
E 0022 0120 081
E 0023 0097 035
E 0023 0287 057
E 0024 0084 051
E 0025 0193 042
E 0025 0253 035
E 0026 0098 031
E 0026 0230 064
E 0027 0239 064
E 0027 0246 059
E 0028 0029 079
E 0029 0374 046
E 0030 0354 024
E 0030 0150 044
